,NameList,8_4,12_2,12_3,12_4,14_1,14_2,14_3,16_2,18_2,20_1,20_2,20_3,20_4,21_4,22_1,22_2,22_3,22_4,23_1,23_2,25_1,25_2,26_1,26_2,26_3,26_4,27_1,27_2,27_3,27_4,28_1,28_2,28_3,28_4
0,SN2011fe_0.4d,0.01590484380722046,0.017051680013537407,0.0020524440333247185,4.1326944483444095e-05,0.00781541783362627,0.04205366224050522,0.0045943413861095905,0.005788384471088648,0.001675320789217949,0.0014243501937016845,0.011762975715100765,0.0006664794054813683,2.4829818357829936e-05,6.123158424742314e-09,2.4674536689417437e-05,2.7277776098344475e-05,4.299728061596397e-06,3.545843867414078e-07,1.97218541870825e-05,0.00011809927673311904,0.005502345971763134,6.440307487309838e-08,0.011844675987958908,0.0033974582329392433,0.0006636394537054002,1.2940511624037754e-05,0.02789216674864292,0.011999458074569702,0.0016098861815407872,3.1419508559338283e-06,0.019981201738119125,0.000628502806648612,0.00024007649335544556,4.375227717900998e-07
1,SN2011fe_-2.6d,0.02138795331120491,0.012229406274855137,0.002074956428259611,2.604797737149056e-05,0.0035452155862003565,0.04407742992043495,0.005732907447963953,0.005480751860886812,0.00740467244759202,0.0018233649898320436,0.007407617289572954,0.00066524522844702,3.3564028854016215e-05,6.29341734281752e-09,2.5368462956976146e-05,2.694188879104331e-05,2.6177524432569044e-06,2.984491800361866e-07,0.00015486986376345158,8.184415491996333e-05,0.0067225489765405655,1.0081240020554105e-07,0.01572633534669876,0.0027897011023014784,0.000541175133548677,1.778697333065793e-05,0.024433383718132973,0.011673967353999615,0.0009395629749633372,1.124817572417669e-05,0.011906764470040798,0.0004287846095394343,0.00038951452006585896,1.7531252751723514e-06
2,SN2011fe_3.7d,0.006817514076828957,0.012518960982561111,0.00047214486403390765,7.978816574905068e-05,0.008609706535935402,0.02387240156531334,0.002762432908639312,0.004443752579391003,0.00328915030695498,0.0027350732125341892,0.012943216599524021,0.0006516730645671487,1.005827471090015e-05,6.3251399673447395e-09,2.617109021230135e-05,2.9446786356857046e-05,4.564433766063303e-06,6.159267513794475e-07,2.527431570342742e-05,0.00015484481991734356,0.007536330260336399,3.1154550583778473e-07,0.008882848545908928,0.0046422421000897884,0.0002540426794439554,8.570667887397576e-06,0.024145275354385376,0.010470609180629253,0.0014101171400398016,1.0381701258665998e-06,0.047187089920043945,0.00011037804506486282,1.2231689652253408e-05,1.3616217131584563e-07
3,SN2013dy_-3.1d,0.04012712836265564,0.01799267716705799,0.003697997657582164,3.480416853562929e-05,0.0016672770725563169,0.020855650305747986,0.00452271057292819,0.006184244994074106,0.0019133511232212186,0.0005790301947854459,0.001287920167669654,0.0006630751304328442,3.7688525480916724e-05,6.1205365220473595e-09,2.3867274649091996e-05,2.515556843718514e-05,7.950176694748734e-08,3.403314963179582e-07,0.00012559302558656782,9.964461241906974e-06,0.0028049948159605265,1.1785950846388005e-05,0.015604330226778984,0.0033789295703172684,0.00010535628825891763,0.0001582912082085386,0.0303009245544672,0.012132115662097931,0.0020521502010524273,3.413567173993215e-05,0.021801257506012917,0.00980075541883707,0.0010519421193748713,4.840976544073783e-05
4,SN2013dy_-1.1d,0.040820930153131485,0.02338237129151821,0.003603552933782339,4.212611747789197e-05,0.000990243861451745,0.02684658020734787,0.004174216650426388,0.005690963007509708,0.0021168405655771494,0.0003484400804154575,0.0015442444710060954,0.0006705479463562369,3.695140912896022e-05,6.110533412595487e-09,2.3255179257830605e-05,2.462028533045668e-05,2.533440692786826e-07,3.4238030366395833e-07,0.00014503941929433495,2.9751441616099328e-05,0.0023684140760451555,5.83881774218753e-06,0.011646058410406113,0.0026643620803952217,0.0001734330871840939,0.0001177325175376609,0.033447060734033585,0.011544572189450264,0.0021614839788526297,2.5260938855353743e-05,0.02433372475206852,0.0102000180631876,0.0008365685935132205,1.9355084077687934e-05
5,SN2013dy_0.9d,0.040041666477918625,0.03196975216269493,0.0036702242214232683,5.39413740625605e-05,0.0004282109730411321,0.03238885849714279,0.0037878851871937513,0.005660727620124817,0.0020900757517665625,0.0001774015254341066,0.005924018565565348,0.0006729514570906758,3.321176700410433e-05,5.486886056615958e-09,2.2983462258707732e-05,2.299624975421466e-05,9.38063124067412e-07,3.404952337859868e-07,1.2472661182982847e-05,0.00011943258868996054,0.004741942975670099,1.3432781997835264e-06,0.010388829745352268,0.0029150403570383787,0.0002660652680788189,8.286224328912795e-05,0.03344878926873207,0.010487849824130535,0.0021803993731737137,1.1592816008487716e-05,0.02676771581172943,0.009678230620920658,0.00041246748878620565,9.202916771755554e-06
6,SN2013dy_3.9d,0.02571641467511654,0.026787299662828445,0.0026129065081477165,7.279908459167928e-05,0.0002384367835475132,0.027653556317090988,0.0035396732855588198,0.0046942331828176975,0.0026225873734802008,6.589978147530928e-05,0.012894943356513977,0.0006726990104652941,1.5396772141684778e-05,6.085312254100472e-09,2.352109004277736e-05,2.4331668100785464e-05,3.0475971470877994e-06,3.80341532491002e-07,9.285943633585703e-06,0.00015494078979827464,0.00545316468924284,2.5727177899170783e-07,0.008639948442578316,0.004365581087768078,0.0002773447195068002,2.1392830603872426e-05,0.03270082548260689,0.013135770335793495,0.0021942807361483574,1.446816099814896e-06,0.02746860682964325,0.0023862605448812246,3.144189759041183e-05,1.7081016494557844e-06
7,SN2011iv_0.6d,0.012845898047089577,0.02026326023042202,0.0028334734961390495,0.00019195102504454553,0.007068918086588383,0.06042526662349701,0.005110681988298893,0.004741007462143898,0.005711627192795277,7.714659659541212e-06,0.011597954668104649,0.0006694264011457562,2.5601625566196162e-06,6.403636731988627e-09,2.834677798091434e-05,2.8497328457888216e-05,5.520714694284834e-06,8.247317850873515e-07,6.562103953910992e-05,0.0001757054269546643,0.007654511369764805,4.739629366667941e-05,0.011655563488602638,0.01045707892626524,0.0001957010244950652,5.347928436094662e-06,0.035671308636665344,0.012836756184697151,0.0005409297882579267,3.759195408292726e-07,0.007907185703516006,4.3206910049775615e-05,1.2595047564900597e-06,9.474994158154004e-07
8,SN2015F_-2.3d,0.003722909139469266,0.009916921146214008,0.0015833971556276083,0.00012354123464319855,0.005413220264017582,0.07023218274116516,0.004741956014186144,0.0049631730653345585,0.005843854509294033,0.00022020125470589846,0.008986511267721653,0.0006512806285172701,2.98021623166278e-05,6.402794294757541e-09,2.8929942345712334e-05,3.0529143259627745e-05,4.18802073909319e-06,3.067908949105913e-07,5.2619099733419716e-05,0.0001341111201327294,0.0073438906110823154,3.1982281711862015e-08,0.010196627117693424,0.00555682647973299,0.0008079506224021316,2.1638968974002637e-05,0.027694061398506165,0.008240217342972755,0.0006370877963490784,5.679959031112958e-06,0.014471746049821377,0.001243419828824699,8.693636482348666e-05,7.355408797593554e-07
9,ASASSN-14lp_-4.4d,0.041391097009181976,0.007538738660514355,0.0032270755618810654,2.8621429009945132e-05,0.0005614010733552277,0.012155427597463131,0.005753448233008385,0.005400234833359718,0.004481591749936342,0.0005820771330036223,0.00021022041619289666,0.0005670837126672268,3.904284312739037e-05,4.6481449800239716e-09,2.534106715756934e-05,2.650251190061681e-05,4.291791242394538e-07,3.578183509489463e-07,0.0002588185016065836,1.4666113202110864e-05,0.0008065239526331425,0.0004189842729829252,0.00965102668851614,0.011670742183923721,0.00013234844664111733,0.0002264893992105499,0.053631801158189774,0.009837953373789787,2.108924491039943e-05,3.435586404521018e-05,0.03371703252196312,0.012128354050219059,0.0021621070336550474,8.984246233012527e-05
