,NameList,8_4,12_2,12_3,12_4,14_1,14_2,14_3,16_2,18_2,20_1,20_2,20_3,20_4,21_4,22_1,22_2,22_3,22_4,23_1,23_2,25_1,25_2,26_1,26_2,26_3,26_4,27_1,27_2,27_3,27_4,28_1,28_2,28_3,28_4
0,SN2011fe_0.4d,1.2910893,1.3640728,1.5416425,-0.98155373,2.2658916,1.6211035,0.66537136,1.2004579,0.697439,0.7093543,2.3009243,3.4685502,1.7214259,1.5170403,1.5399126,2.2960453,1.769282,1.3779917,0.34531766,1.8124177,1.8386245,-3.0640137,0.4145552,1.0748155,0.5879553,0.25071606,0.95480895,2.341949,1.9414002,0.42899227,0.7680785,0.16261896,0.5664437,-0.8946407
1,SN2011fe_-2.6d,1.5225718,1.141628,1.5516257,-1.1811075,1.2972109,1.6695093,0.7778606,1.1649573,1.6820476,0.8350083,1.5721964,3.398216,2.2547,1.5412556,1.5653827,2.2574944,1.3124236,1.2546723,1.4940394,1.4431757,2.222969,-2.870565,0.533769,0.96187764,0.48976117,0.39861938,0.88327324,2.257139,1.3779927,1.0918776,0.5360125,-0.008844581,0.81103784,-0.28469768
2,SN2011fe_3.7d,0.79254997,1.1560913,0.63724035,-0.6966022,2.7077289,1.1825674,0.41912037,1.036297,1.0624251,1.0571,2.7804937,2.9710054,1.0260307,1.545772,1.5949774,2.6429367,1.84974,1.9655068,0.46018922,2.3621752,2.744622,-2.3834546,0.29753885,1.2735257,0.13975489,0.0629089,0.8770705,2.0142057,1.7574687,-0.07600358,1.2767885,-0.6046959,-0.77798676,-1.4042192
3,SN2013dy_-3.1d,2.839773,1.4044752,2.7028792,-1.0558456,0.84464985,1.0989785,0.65753603,1.2448263,0.7650379,0.28321344,0.50780845,3.296506,2.8675861,1.5166676,1.5103567,2.0846372,-0.4091662,1.3473411,1.332072,0.28321213,1.2283479,-0.8130929,0.53042775,1.0715756,-0.25303465,1.7678163,1.0020633,2.380365,2.641481,2.2928498,0.8102638,1.8448989,1.4356757,1.4199513
4,SN2013dy_-1.1d,3.0485651,1.6319109,2.5444775,-0.97326785,0.5812074,1.2596726,0.61782086,1.1893208,0.8175779,0.054381054,0.5963435,3.8418715,2.6900144,1.5152457,1.4879594,2.0403044,0.10201735,1.3517691,1.4403509,0.8131739,1.1204435,-1.1173253,0.40758055,0.9365308,-0.03181075,1.473631,1.0615467,2.2264433,3.2198503,1.739936,0.86526567,1.9047123,1.2638775,0.84197253
5,SN2013dy_0.9d,2.819432,2.0507371,2.6509342,-0.8662656,0.18891189,1.3946246,0.5702695,1.185845,0.8109046,-0.24387072,1.3809663,4.5469646,2.2240753,1.4263476,1.4780116,1.9192107,0.7159479,1.3476952,0.13777462,1.8273398,1.6579221,-1.7524328,0.36080492,0.986433,0.1607117,1.215868,1.0615789,2.017178,3.4816005,1.1102968,0.9149288,1.8272021,0.84140104,0.46978676
6,SN2013dy_3.9d,1.7053032,1.7822127,1.8005811,-0.73636234,-0.07421967,1.2799087,0.53740925,1.0689015,0.9328809,-0.6755265,2.7491076,4.3920827,1.2972869,1.5116606,1.4976903,2.0174377,1.4282303,1.4326534,0.0063362024,2.3643825,1.8261766,-2.4660954,0.28643027,1.2318931,0.17956708,0.48606938,1.0476235,2.8255594,3.8760576,0.07267491,0.9287521,0.7992004,-0.36268514,-0.29621652
7,SN2011iv_0.6d,1.1499383,1.5003443,1.9153644,-0.31438273,2.027898,2.1434615,0.7189715,1.0748682,1.4390782,-1.602966,2.2576919,3.7036724,0.3360753,1.5569565,1.6764793,2.4630237,2.22111,3.8783538,0.9349822,3.9111125,2.8987832,-0.20618057,0.40791672,2.2383554,0.022235373,-0.14868653,1.1025198,2.648146,1.0182633,-0.52427906,0.36661482,-1.0116957,-1.7710754,-0.55602723
8,SN2015F_-2.3d,0.49267122,1.0177709,1.3319399,-0.5066414,1.6570091,2.7426395,0.68119484,1.1027299,1.4578961,-0.1488909,1.7846732,2.9630704,1.9833047,1.5568364,1.698785,2.9883459,1.736783,1.2735107,0.8181938,2.0070715,2.5669825,-3.3661966,0.3532116,1.4054303,0.68502355,0.49153674,0.9508401,1.6879005,1.115438,0.71734154,0.6204596,0.477424,0.091681324,-0.6671813
9,ASASSN-14lp_-4.4d,3.3421307,0.8674898,2.1647463,-1.1403925,0.31297863,0.80018413,0.7797135,1.1554966,1.2588394,0.2856078,-0.32131484,2.2281182,3.7983155,1.3035796,1.5643754,2.2105024,0.34141654,1.3849006,2.1604617,0.46349752,0.5505383,0.8046275,0.33093065,2.7612867,-0.15211178,2.5716822,1.4335513,1.9115658,-0.51284605,2.3137324,1.0450916,2.2791975,2.8781512,2.249433
10,SN2011by_-0.4d,1.531437,1.1660221,1.2445165,-0.70834816,1.4987291,1.7985934,0.68384343,1.2890615,0.48308602,-0.01840247,2.1859753,4.1473117,1.7068632,1.5143617,1.4967142,2.515719,1.600282,1.2726337,0.7733535,1.6809282,1.863397,-2.3688602,0.3548224,1.0128239,0.68061465,0.2921564,1.0190381,2.1684842,2.9990764,0.8302064,0.5570335,1.2448786,0.68227524,-0.23252252
