,temp,velo
0,16031.5434697,7300.0
1,17487.7392156,7419.94
2,17605.9121071,7953.16
3,17185.44956,8532.6
4,16476.8423133,9161.01
5,15908.5327612,9300.78
6,15587.14368,9442.76
7,15264.4346379,9587.48
8,14878.1322126,9734.4
9,14472.3954595,9890.13
10,13988.5704855,10073.4
11,13450.5527386,10266.5
12,12852.4247543,10469.0
13,12338.6697352,10683.6
14,11837.0710771,10912.0
15,11436.1168817,11159.1
16,11120.049122,11423.8
17,10873.5264323,11714.9
18,10619.9548853,12035.1
19,10364.5554891,12388.4
20,10144.6549641,12785.7
21,9876.74896509,13239.1
22,9534.64942352,13775.1
23,9284.85151253,14407.9
24,9162.78451038,15181.0
25,9075.40549357,15433.6
26,9038.70402789,15703.8
27,8987.26630884,15977.8
28,8973.17204707,16254.1
29,8930.33377584,16517.1
30,8903.02035888,16778.5
31,8858.79970825,17047.0
32,8781.69480404,17325.5
33,8705.392152,17611.1
34,8650.81814507,17917.6
35,8570.34369785,18263.7
36,8491.04072254,18647.2
37,8411.33188976,19101.8
38,8283.58782164,19632.2
39,8184.75830897,19932.7
40,8105.65850126,20290.4
41,8015.82294753,20687.1
42,7915.16376901,21576.7
43,7798.16602464,22504.5
44,7633.1950347,23472.2
45,7467.00430512,24627.9
