,temp,velo
0,18887.444479,7300.0
1,18338.3950632,7419.94
2,16430.1485906,7953.16
3,13985.6243254,8532.6
4,12509.4874918,9161.01
5,11917.6691152,9300.78
6,11633.5556209,9442.76
7,11352.3267032,9587.48
8,11221.1719698,9734.4
9,11041.8600681,9890.13
10,10867.6277999,10073.4
11,10680.8516796,10266.5
12,10596.4380871,10469.0
13,10420.1322462,10683.6
14,10291.9506899,10912.0
15,10172.8781197,11159.1
16,10046.4704604,11423.8
17,9922.13227855,11714.9
18,9836.57991861,12035.1
19,9762.16233293,12388.4
20,9688.92977051,12785.7
21,9576.46499455,13239.1
22,9426.93956233,13775.1
23,9376.49512301,14407.9
24,9264.00447897,15181.0
25,9221.08828527,15433.6
26,9186.65195105,15703.8
27,9105.16370054,15977.8
28,8987.10037397,16254.1
29,8889.45007872,16517.1
30,8799.12281861,16778.5
31,8747.78709231,17047.0
32,8684.96434008,17325.5
33,8610.29499735,17611.1
34,8544.84373757,17917.6
35,8472.53421014,18263.7
36,8346.70371058,18647.2
37,8282.73143943,19101.8
38,8154.19055104,19632.2
39,8091.12350349,19932.7
40,8012.84936174,20290.4
41,7954.22076532,20687.1
42,7867.8163742,21576.7
43,7752.89618248,22504.5
44,7603.23384836,23472.2
45,7454.50837476,24627.9
