,temp,velo
0,12616.2427951,8600.0
1,14386.3839517,9161.01
2,13962.2582685,9300.78
3,13550.4555585,9442.76
4,13160.4132668,9587.48
5,12846.6497331,9734.4
6,12505.1937283,9890.13
7,12195.3385002,10073.4
8,11913.3398373,10266.5
9,11644.4332367,10469.0
10,11392.5493993,10683.6
11,11152.8641478,10912.0
12,10974.550563,11159.1
13,10843.7909079,11423.8
14,10615.9952804,11714.9
15,10413.6940328,12035.1
16,10156.6039962,12388.4
17,9852.33609296,12785.7
18,9547.52192401,13239.1
19,9380.28139633,13775.1
20,9220.6501206,14407.9
21,9078.01031814,15181.0
22,8947.08903517,15433.6
23,8938.1586153,15703.8
24,8870.51966776,15977.8
25,8790.5310743,16254.1
26,8696.43832039,16517.1
27,8536.42886706,16778.5
28,8427.57140006,17047.0
29,8381.25585619,17325.5
30,8301.93105732,17611.1
31,8222.11142041,17917.6
32,8165.57536678,18263.7
33,8114.87345563,18647.2
34,8031.92342132,19101.8
35,7906.99544823,19632.2
36,7760.01468259,19932.7
37,7680.36158399,20290.4
38,7591.44962916,20687.1
39,7513.12650836,21576.7
40,7392.04289181,22504.5
41,7214.51869377,23472.2
42,7047.47504562,24627.9
