,temp,velo
0,11872.9254266,8600.0
1,13718.1517901,9161.01
2,13355.688403,9300.78
3,13038.6276423,9442.76
4,12735.9122448,9587.48
5,12404.9895112,9734.4
6,12134.4614267,9890.13
7,11838.1054894,10073.4
8,11588.673544,10266.5
9,11375.4411532,10469.0
10,11143.0205071,10683.6
11,10891.5589589,10912.0
12,10677.8382671,11159.1
13,10513.8045288,11423.8
14,10352.1156945,11714.9
15,10150.6099754,12035.1
16,9897.34025405,12388.4
17,9536.24068659,12785.7
18,9291.36011445,13239.1
19,9117.49831649,13775.1
20,9003.78913015,14407.9
21,8897.87350369,15181.0
22,8817.10613147,15433.6
23,8793.10978005,15703.8
24,8743.49995884,15977.8
25,8692.90538565,16254.1
26,8639.6842725,16517.1
27,8568.68438215,16778.5
28,8516.39979287,17047.0
29,8425.76262117,17325.5
30,8328.39991597,17611.1
31,8267.00191086,17917.6
32,8196.45764397,18263.7
33,8108.90051965,18647.2
34,8014.37024195,19101.8
35,7881.19245186,19632.2
36,7748.54974428,19932.7
37,7653.2060708,20290.4
38,7586.7480288,20687.1
39,7477.26418077,21576.7
40,7336.35795439,22504.5
41,7142.00732996,23472.2
42,6951.97807036,24627.9
