,temp,velo
0,15805.7011094,6400.0
1,15865.5036051,6455.3
2,14776.685314,6923.04
3,13324.6824086,7419.94
4,12343.8864606,7953.16
5,11605.5969262,8532.6
6,11019.4039299,9161.01
7,10761.9838747,9300.78
8,10606.6420416,9442.76
9,10506.1671205,9587.48
10,10370.2785236,9734.4
11,10249.0227469,9890.13
12,10175.1808985,10073.4
13,10124.124965,10266.5
14,10040.3419607,10469.0
15,9956.95973624,10683.6
16,9856.04730645,10912.0
17,9768.1380545,11159.1
18,9675.81121414,11423.8
19,9573.1611904,11714.9
20,9461.98146894,12035.1
21,9260.69257095,12388.4
22,8990.72162548,12785.7
23,8871.95899511,13239.1
24,8791.76435748,13775.1
25,8779.70434781,14407.9
26,8749.92426868,15181.0
27,8752.65706787,15433.6
28,8665.48114893,15703.8
29,8613.76641421,15977.8
30,8523.61245373,16254.1
31,8387.52727492,16517.1
32,8201.73520947,16778.5
33,8069.99917001,17047.0
34,8006.60794641,17325.5
35,7958.18599788,17611.1
36,7895.18376156,17917.6
37,7820.35632191,18263.7
38,7772.54678507,18647.2
39,7702.97315877,19101.8
40,7599.78035442,19632.2
41,7514.31284283,19932.7
42,7416.52428544,20290.4
43,7325.09858068,20687.1
44,7262.78656812,21576.7
45,7139.52292724,22504.5
46,6958.21930128,23472.2
47,6802.52906932,24627.9
