,temp,velo
0,17731.3435121,6400.0
1,18600.2076441,6455.3
2,17943.5933626,6923.04
3,16788.1382362,7419.94
4,15685.9329791,7953.16
5,14748.6831709,8532.6
6,13916.7946937,9161.01
7,13410.4511491,9300.78
8,13132.791718,9442.76
9,12888.1328636,9587.48
10,12650.4483022,9734.4
11,12404.2505229,9890.13
12,12124.6068623,10073.4
13,11885.8271544,10266.5
14,11646.6417651,10469.0
15,11367.764134,10683.6
16,11158.9065683,10912.0
17,10943.1307139,11159.1
18,10735.3528432,11423.8
19,10561.5881914,11714.9
20,10442.0650488,12035.1
21,10254.4978869,12388.4
22,10113.4598912,12785.7
23,10017.5139859,13239.1
24,9893.65440145,13775.1
25,9776.24992513,14407.9
26,9626.61105848,15181.0
27,9506.78347952,15433.6
28,9443.71368504,15703.8
29,9323.09621903,15977.8
30,9232.06077063,16254.1
31,9107.68015264,16517.1
32,8936.7914189,16778.5
33,8771.26158994,17047.0
34,8731.26925722,17325.5
35,8674.54083411,17611.1
36,8594.64009145,17917.6
37,8529.13786121,18263.7
38,8466.99298134,18647.2
39,8347.50702086,19101.8
40,8242.73106207,19632.2
41,8128.55118858,19932.7
42,8009.10158016,20290.4
43,7936.56724322,20687.1
44,7864.89671723,21576.7
45,7778.88141896,22504.5
46,7624.18328399,23472.2
47,7460.94645991,24627.9
