,temp,velo
0,16197.5092688,6200.0
1,15973.3783491,6455.3
2,14952.2290113,6923.04
3,13906.4971018,7419.94
4,13041.5897488,7953.16
5,12322.1010551,8532.6
6,11688.2890189,9161.01
7,11352.5124406,9300.78
8,11218.9423283,9442.76
9,11098.422664,9587.48
10,10944.1690919,9734.4
11,10833.0677198,9890.13
12,10664.5954481,10073.4
13,10492.8248454,10266.5
14,10323.837718,10469.0
15,10155.9089728,10683.6
16,10010.3386601,10912.0
17,9866.76372541,11159.1
18,9719.07332733,11423.8
19,9573.08012995,11714.9
20,9424.97143563,12035.1
21,9212.73493088,12388.4
22,9041.52733177,12785.7
23,8878.52344858,13239.1
24,8757.93707279,13775.1
25,8641.27413925,14407.9
26,8471.48662016,15181.0
27,8363.31164309,15433.6
28,8300.18870176,15703.8
29,8222.75703303,15977.8
30,8140.6011455,16254.1
31,8001.97294934,16517.1
32,7875.16905049,16778.5
33,7789.21402145,17047.0
34,7720.33589704,17325.5
35,7646.94714147,17611.1
36,7569.15591525,17917.6
37,7494.81429136,18263.7
38,7417.55532622,18647.2
39,7325.73648543,19101.8
40,7220.16761011,19632.2
41,7113.26743385,19932.7
42,7034.91974074,20290.4
43,6957.91505813,20687.1
44,6876.03959172,21576.7
45,6755.29209108,22504.5
46,6608.57297847,23472.2
47,6443.63133469,24627.9
