,temp,velo
0,19059.6061989,6400.0
1,19307.9468898,6455.3
2,18236.2530946,6923.04
3,16564.4788348,7419.94
4,15110.4584952,7953.16
5,13920.6276239,8532.6
6,12992.8794019,9161.01
7,12442.5931533,9300.78
8,12183.8312746,9442.76
9,11923.1091039,9587.48
10,11717.5013286,9734.4
11,11519.4220362,9890.13
12,11332.683933,10073.4
13,11157.7209842,10266.5
14,11006.3982379,10469.0
15,10832.0073907,10683.6
16,10702.5238881,10912.0
17,10573.1455854,11159.1
18,10516.3261004,11423.8
19,10356.1986223,11714.9
20,10230.1312823,12035.1
21,10039.4929587,12388.4
22,9858.17274488,12785.7
23,9654.78318125,13239.1
24,9530.44113289,13775.1
25,9464.07918998,14407.9
26,9343.97503981,15181.0
27,9266.72195207,15433.6
28,9237.51999524,15703.8
29,9155.86422428,15977.8
30,9105.38923735,16254.1
31,8996.21918255,16517.1
32,8899.13573193,16778.5
33,8779.30473163,17047.0
34,8748.30082089,17325.5
35,8691.22338184,17611.1
36,8621.12928731,17917.6
37,8529.98816266,18263.7
38,8442.24572643,18647.2
39,8377.23070288,19101.8
40,8233.30269161,19632.2
41,8112.78883592,19932.7
42,8029.99571716,20290.4
43,7941.52715595,20687.1
44,7845.65330256,21576.7
45,7715.58481115,22504.5
46,7539.87421836,23472.2
47,7411.62760126,24627.9
