,temp,velo
0,12165.1601462,8600.0
1,13994.1708887,9161.01
2,13689.3577442,9300.78
3,13363.4291162,9442.76
4,13040.5850278,9587.48
5,12704.2097059,9734.4
6,12392.7188397,9890.13
7,12074.0736531,10073.4
8,11781.6903626,10266.5
9,11554.5398053,10469.0
10,11322.5313998,10683.6
11,11082.8934328,10912.0
12,10883.4050924,11159.1
13,10701.4262259,11423.8
14,10530.0570149,11714.9
15,10361.4277205,12035.1
16,10088.2364029,12388.4
17,9832.5728239,12785.7
18,9619.22889779,13239.1
19,9489.64988963,13775.1
20,9293.16428756,14407.9
21,9150.59152856,15181.0
22,8974.73043019,15433.6
23,8912.24929921,15703.8
24,8810.72493717,15977.8
25,8760.4974694,16254.1
26,8654.2719774,16517.1
27,8488.08851682,16778.5
28,8373.78069052,17047.0
29,8310.32120085,17325.5
30,8251.70632539,17611.1
31,8195.50509627,17917.6
32,8104.47606994,18263.7
33,8029.67384141,18647.2
34,7929.97985702,19101.8
35,7831.91341291,19632.2
36,7730.86958998,19932.7
37,7604.75545913,20290.4
38,7521.49818236,20687.1
39,7441.4004822,21576.7
40,7309.02539416,22504.5
41,7139.91060384,23472.2
42,6974.29364284,24627.9
