,temp,velo
0,13498.7730527,8600.0
1,15130.9291788,9161.01
2,14578.2313388,9300.78
3,14118.6745645,9442.76
4,13670.7492118,9587.48
5,13220.5957078,9734.4
6,12771.1168966,9890.13
7,12346.2557317,10073.4
8,12053.2411172,10266.5
9,11793.2690776,10469.0
10,11533.723494,10683.6
11,11316.8469952,10912.0
12,11094.035753,11159.1
13,10937.4300642,11423.8
14,10788.6629876,11714.9
15,10644.368661,12035.1
16,10526.162873,12388.4
17,10429.9595836,12785.7
18,10307.9710729,13239.1
19,10121.4157674,13775.1
20,9920.43882563,14407.9
21,9739.38280769,15181.0
22,9631.59453148,15433.6
23,9503.31909017,15703.8
24,9430.95845712,15977.8
25,9339.87353635,16254.1
26,9226.11732182,16517.1
27,9014.66947932,16778.5
28,8886.1993257,17047.0
29,8800.63617837,17325.5
30,8721.54828426,17611.1
31,8630.73677941,17917.6
32,8543.53230685,18263.7
33,8484.93123212,18647.2
34,8329.89172779,19101.8
35,8172.64997368,19632.2
36,8046.58103406,19932.7
37,7923.91515196,20290.4
38,7808.09384887,20687.1
39,7692.18237958,21576.7
40,7562.20194755,22504.5
41,7370.76662196,23472.2
42,7161.23304385,24627.9
