,temp,velo
0,21299.9127351,6600.0
1,18963.7735254,6923.04
2,17209.7206749,7419.94
3,15389.2028064,7953.16
4,13811.4371499,8532.6
5,12663.8979544,9161.01
6,12089.5536428,9300.78
7,11837.5023518,9442.76
8,11628.0625937,9587.48
9,11422.6547213,9734.4
10,11270.4307798,9890.13
11,11096.7501222,10073.4
12,10941.4363262,10266.5
13,10752.2317164,10469.0
14,10602.4869069,10683.6
15,10468.1481309,10912.0
16,10304.0453861,11159.1
17,10192.0958088,11423.8
18,10107.0422404,11714.9
19,9997.82889646,12035.1
20,9918.9959835,12388.4
21,9788.41538913,12785.7
22,9659.35437875,13239.1
23,9586.38164246,13775.1
24,9477.74418447,14407.9
25,9392.26355109,15181.0
26,9290.26376774,15433.6
27,9219.13198155,15703.8
28,9131.53881765,15977.8
29,9015.60547014,16254.1
30,8834.44343485,16517.1
31,8549.37754879,16778.5
32,8308.25199792,17047.0
33,8273.31493259,17325.5
34,8210.81174265,17611.1
35,8177.46684244,17917.6
36,8127.01064955,18263.7
37,8051.16097111,18647.2
38,8005.25176222,19101.8
39,7918.53548722,19632.2
40,7814.52687542,19932.7
41,7744.75524626,20290.4
42,7697.64001945,20687.1
43,7590.59756748,21576.7
44,7462.6648036,22504.5
45,7335.34884934,23472.2
46,7175.1729763,24627.9
