,temp,velo
0,17171.27088,5800.0
1,17372.7666797,6005.72
2,16157.3960552,6455.3
3,14918.9067726,6923.04
4,13955.5642332,7419.94
5,13290.4747172,7953.16
6,12664.7036464,8532.6
7,12046.0727682,9161.01
8,11728.7477826,9300.78
9,11570.4070097,9442.76
10,11404.8479472,9587.48
11,11252.0912525,9734.4
12,11113.7145143,9890.13
13,10974.7857305,10073.4
14,10853.8889641,10266.5
15,10728.0982237,10469.0
16,10591.637576,10683.6
17,10449.6422307,10912.0
18,10334.7435931,11159.1
19,10202.0982075,11423.8
20,10056.2715511,11714.9
21,9923.83377721,12035.1
22,9667.65049219,12388.4
23,9418.94058942,12785.7
24,9144.57972841,13239.1
25,9025.93755749,13775.1
26,8873.89698022,14407.9
27,8785.96966767,15181.0
28,8688.64166601,15433.6
29,8622.39957904,15703.8
30,8573.54650968,15977.8
31,8452.27383578,16254.1
32,8305.85573173,16517.1
33,8032.54757618,16778.5
34,7817.23086873,17047.0
35,7786.65198124,17325.5
36,7750.64602726,17611.1
37,7714.3417324,17917.6
38,7660.06913084,18263.7
39,7625.39458854,18647.2
40,7606.18104456,19101.8
41,7552.5250111,19632.2
42,7505.11480158,19932.7
43,7467.0150121,20290.4
44,7428.07309181,20687.1
45,7405.7193235,21576.7
46,7350.53646648,22504.5
47,7293.9451097,23472.2
48,7238.2436285,24627.9
