,temp,velo
0,18023.2592761,6600.0
1,17478.2141814,6923.04
2,16189.2402945,7419.94
3,14785.9340384,7953.16
4,13521.8117739,8532.6
5,12497.8565966,9161.01
6,11943.2556161,9300.78
7,11735.3009511,9442.76
8,11580.8149915,9587.48
9,11373.6519613,9734.4
10,11186.935246,9890.13
11,11036.2006246,10073.4
12,10875.175291,10266.5
13,10745.3706578,10469.0
14,10564.5158253,10683.6
15,10396.5906189,10912.0
16,10250.8214226,11159.1
17,10147.8371112,11423.8
18,9987.4039695,11714.9
19,9845.53548595,12035.1
20,9617.24901778,12388.4
21,9258.40141082,12785.7
22,8963.6053399,13239.1
23,8861.54873715,13775.1
24,8748.76653097,14407.9
25,8630.67490344,15181.0
26,8565.38962387,15433.6
27,8468.11404439,15703.8
28,8373.13313035,15977.8
29,8273.47505057,16254.1
30,8075.43953896,16517.1
31,7822.12672592,16778.5
32,7578.00878185,17047.0
33,7535.32181706,17325.5
34,7505.90864987,17611.1
35,7480.66944326,17917.6
36,7459.51757137,18263.7
37,7420.1725679,18647.2
38,7382.15465939,19101.8
39,7342.01447471,19632.2
40,7291.5416993,19932.7
41,7256.10673923,20290.4
42,7192.95312957,20687.1
43,7160.63315692,21576.7
44,7116.89082738,22504.5
45,7053.99994584,23472.2
46,6974.82374747,24627.9
