,temp,velo
0,17082.2902431,5800.0
1,17153.5857908,6005.72
2,16205.6145279,6455.3
3,15018.3378138,6923.04
4,14086.966137,7419.94
5,13402.1923516,7953.16
6,12771.3462161,8532.6
7,12288.2230451,9161.01
8,11966.9291171,9300.78
9,11873.0322141,9442.76
10,11753.5099228,9587.48
11,11643.1752136,9734.4
12,11543.1176341,9890.13
13,11414.1136268,10073.4
14,11280.8486011,10266.5
15,11130.761919,10469.0
16,10987.0120255,10683.6
17,10830.7474664,10912.0
18,10672.1848554,11159.1
19,10527.3453134,11423.8
20,10399.4155122,11714.9
21,10250.5931374,12035.1
22,10026.1532667,12388.4
23,9789.11675887,12785.7
24,9600.12035976,13239.1
25,9464.09591763,13775.1
26,9376.24907428,14407.9
27,9191.49456108,15181.0
28,9110.60160986,15433.6
29,9053.75161607,15703.8
30,8960.73790482,15977.8
31,8877.014087,16254.1
32,8723.49271973,16517.1
33,8448.41225291,16778.5
34,8265.31572433,17047.0
35,8202.85181732,17325.5
36,8164.03078784,17611.1
37,8119.39498657,17917.6
38,8082.51215244,18263.7
39,8008.71879368,18647.2
40,7952.25280458,19101.8
41,7855.11267925,19632.2
42,7781.67694056,19932.7
43,7711.78573752,20290.4
44,7649.06135793,20687.1
45,7588.26548934,21576.7
46,7508.63180208,22504.5
47,7396.64082377,23472.2
48,7275.65807887,24627.9
