,NameList,12_2,12_3,12_4,14_1,14_2,14_3,16_2,18_2,20_1,20_2,20_3,20_4,21_4,22_2,22_3,22_4,23_1,23_2,25_1,25_2,26_1,26_2,26_3,26_4,27_1,27_2,27_3,28_1,28_2,28_3,28_4
0,PTF09dlc,1.6626039,0.7565063,-0.40433198,1.2801133,1.2208894,0.8445247,2.6152363,1.169119,-0.50141805,0.36849105,1.2723025,3.4433808,1.4407586,2.0507665,0.77956444,1.2300539,2.010283,1.078461,2.3778858,-1.6531466,0.39554057,1.956807,0.108714975,1.6848193,0.8376501,1.3892826,1.7900345,1.0866798,2.3492084,0.42207915,1.8762244
1,PTF09dnl,2.5350482,1.0097569,0.17626053,0.868343,0.5140987,1.6293576,1.101293,1.2372175,0.7572211,0.59083825,2.9343708,2.3304002,1.49356,2.4528084,1.2501117,1.6709468,2.17527,1.6674366,3.1019526,-0.74255574,0.52497923,0.942023,0.59864926,1.2745401,0.5452343,1.4594953,2.1305077,1.2102969,0.8456725,1.8019911,0.5097511
2,PTF09fox,1.9151053,1.5876015,0.43171406,1.0018482,0.769201,1.0771419,1.7492702,1.4880576,0.26970923,-0.13350733,3.4813132,2.1089244,1.4790998,1.2271739,1.6938641,0.7751949,1.7095461,1.3393139,1.5709038,0.076887295,0.32678157,2.30659,0.0068853777,2.1796691,0.95018274,1.6595852,1.7730302,1.0388376,0.33372352,-0.1951242,0.77370447
3,PTF09foz,2.2107537,1.6960951,-0.2266381,2.491735,0.7581173,-0.046163492,0.8540707,0.5354811,1.5121806,0.42332876,2.5110087,0.388313,1.5195799,1.4947797,1.025773,1.39204,0.66116965,0.88759047,1.8311033,-0.7293623,1.2099323,1.8752161,0.4647901,1.2654713,0.69884163,1.0985268,2.30532,1.084447,-1.7678052,-0.92632335,0.869561
4,PTF10bjs,1.1301876,2.9054558,0.03134444,-0.5273229,-0.15865703,0.8176976,0.17546998,1.2008069,-1.2680885,-0.30392194,4.9411745,0.9058491,1.4469563,2.3590505,1.3090324,1.5199305,2.0523367,1.6839205,2.7161462,0.6330437,0.4490542,1.1241633,0.0814317,1.8836942,0.7648252,0.7482182,2.8639128,1.4471567,2.8338897,1.8581905,2.2205262
5,PTF10hdv,2.400899,0.91458875,0.16603164,0.08297713,0.60938674,1.3044155,1.9471729,1.552414,-0.75951385,0.56943685,2.6665525,3.395214,1.5527375,2.7860787,1.2929462,1.6732134,1.9961616,1.2083061,2.9779046,0.20400377,0.28672525,2.6821313,0.19836839,1.2711785,0.942293,1.4893576,1.9563973,0.91116124,1.3287376,0.9281197,0.58551544
6,PTF10hmv,1.9614924,2.2203968,-0.6649796,1.445862,1.1742243,0.61803424,1.1912508,1.6567866,0.27090383,0.70264524,2.5163126,1.403495,1.4376234,1.1512724,1.5472891,2.1413002,0.94704574,0.96199185,2.0140529,0.9153248,0.19404222,1.7949034,0.061712533,1.02672,1.1614983,2.5357594,1.8025731,0.7523308,0.37257263,0.721913,1.5049962
7,PTF10icb,1.764503,1.55025,0.18472552,2.2629397,1.0761534,0.5148079,1.7988129,1.1514496,0.2415285,0.8177016,4.0067825,1.6269614,1.472517,1.9487886,0.9877226,1.07041,1.4111983,1.4214386,2.3634512,-0.90578425,0.53255415,0.88214254,-0.11872909,2.506433,0.6710784,1.3078759,3.7334173,1.0885853,0.91859776,0.26928774,1.5818179
8,PTF10mwb,2.5349553,1.6642822,-0.007863605,2.8766387,1.0422015,-0.2083825,0.52393067,0.76546174,0.9892363,0.048569474,2.7578812,1.8110764,1.4951792,1.8414696,1.3126408,1.4997357,0.3286373,1.6233556,2.1216989,-1.5042571,1.0940273,0.7217061,0.47524178,1.2058437,0.62113774,2.0247653,1.8784206,0.8436558,-1.110882,-0.5911568,1.546936
9,PTF10pdf,2.6035714,1.7967618,0.9184441,0.8899012,0.12777288,1.6935948,1.3107177,1.2923266,-0.5070128,0.03631478,3.5753188,2.270716,1.4609387,2.4045222,1.3366977,0.7545124,1.6433516,1.2510078,2.1058002,0.2521748,0.78591496,1.5585518,0.54564524,1.4431815,0.6697585,1.3796828,2.472061,1.0937201,2.0523357,1.0443887,0.76451784
