,Name,IAU Name,Redshift,Na Line,Phase,Initial 0,Initial 0.2,Initial 0.4,Initial 0.6,Select
0,PTF09dlc,,0.068,MW,2.8,0,0.215838181197333,0.215838201677333,0.215838681354226,0.21
1,PTF09dnl,SN2009jb,0.019,MW Small,1.3,0.03946456239759,0.208654818589291,0.208654995226252,0.208655697625241,0.04
2,PTF09fox,,0.0718,No,2.6,0.080064199392897,0.148042641376574,0.331583218465978,0.331583300225275,0.08
3,PTF09foz,,0.05,No,2.8,0.023940241281537,0.158181522715112,0.397659734841169,0.397659768601899,0.15
4,PTF10bjs,,0.0296,No,1.9,0.018585296281319,0.077487788510295,0.077492800989548,0.078139007516503,0.02
5,PTF10hdv,,0.054,No,3.3,0.034406732632695,0.159933675431009,0.23050110336065,0.23050188321007,0.16
6,PTF10hmv,SN2010dm,0.032,HV,2.5,0.024192789048055,0.117801711877309,0.256844438559393,0.256844676984421,0.02
7,PTF10icb,,0.0086,Host MW,0.8,0,0.131593677933259,0.131595129668151,0.131601120811209,0.13
8,PTF10mwb,SN2010gn,0.03,No,−0.4,0.021882189314843,0.157657879584541,0.157658136903752,0.157664268581869,0.02
9,PTF10pdf,,0.0757,Host,2.2,0,0.097303426838124,0.233917791594686,0.233924719974278,0.23
10,PTF10qjq,,0.0289,No,3.5,0.051739494255958,0.142161289091288,0.259903797353713,0.25990400961993,0.14
11,PTF10tce,,0.041,No,3.5,0,0.233235880609376,0.233235923550256,0.23323666094636,0.23
12,PTF10ufj,SN2010hs,0.07,MW HV,2.7,0.153823285125712,0.153823501245124,0.359109071220585,0.35910908431004,0.15
13,PTF10xyt,,0.049,Host,3.2,0.04408516513993,0.240244487409584,0.371713852675931,0.371713911222077,0.24
14,SN2009le,,0.017786,Host MW,0.3,0.011846193052397,0.172467825392176,0.267582612197539,0.267582830000718,0.17
