#PI: Shappee 
#OBJECT: ASASSN-14lp 
#JD: 2457013.04269 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
3959.8 1.0306036e-13 
3961.3 9.3379673e-14 
3962.8 9.41614e-14 
3964.3 9.400908e-14 
3965.8 9.3951511e-14 
3967.3 7.7271323e-14 
3968.8 7.2485454e-14 
3970.2 9.9960826e-14 
3971.7 9.8309944e-14 
3973.2 9.1354548e-14 
3974.7 9.5980974e-14 
3976.2 8.9385463e-14 
3977.7 9.4341901e-14 
3979.2 9.0686679e-14 
3980.7 8.2928934e-14 
3982.2 9.4953022e-14 
3983.7 8.6424017e-14 
3985.2 8.9239458e-14 
3986.7 9.2533515e-14 
3988.2 8.6681716e-14 
3989.6 9.1862029e-14 
3991.1 8.8367953e-14 
3992.6 9.3211913e-14 
3994.1 8.8737721e-14 
3995.6 8.6105739e-14 
3997.1 9.5762346e-14 
3998.6 9.9373698e-14 
4000.1 9.1659176e-14 
4001.6 9.5589912e-14 
4003.1 9.3162263e-14 
4004.6 9.6755565e-14 
4006.1 9.1414753e-14 
4007.6 1.002555e-13 
4009.0 9.6564136e-14 
4010.5 9.8885013e-14 
4012.0 9.7096865e-14 
4013.5 9.8576246e-14 
4015.0 1.0077055e-13 
4016.5 1.0287297e-13 
4018.0 9.8817685e-14 
4019.5 9.9563573e-14 
4021.0 9.606665e-14 
4022.5 1.009528e-13 
4024.0 1.0255004e-13 
4025.5 9.8189186e-14 
4027.0 1.0127173e-13 
4028.5 1.0300392e-13 
4029.9 1.016937e-13 
4031.4 9.7028468e-14 
4032.9 1.0741885e-13 
4034.4 1.0146593e-13 
4035.9 1.0022075e-13 
4037.4 1.0042424e-13 
4038.9 1.0422382e-13 
4040.4 1.0545143e-13 
4041.9 9.9358035e-14 
4043.4 1.0480645e-13 
4044.9 1.0539457e-13 
4046.4 1.0395083e-13 
4047.9 1.0381685e-13 
4049.3 1.0525327e-13 
4050.8 1.060876e-13 
4052.3 1.0793545e-13 
4053.8 1.0842074e-13 
4055.3 1.0268201e-13 
4056.8 1.0595209e-13 
4058.3 1.0926559e-13 
4059.8 1.0292086e-13 
4061.3 1.0376788e-13 
4062.8 1.1119729e-13 
4064.3 1.0144288e-13 
4065.8 1.0579479e-13 
4067.3 1.0535217e-13 
4068.7 1.009463e-13 
4070.2 9.4056318e-14 
4071.7 1.0995891e-13 
4073.2 1.0623554e-13 
4074.7 9.5169251e-14 
